app,contentDescription,addCaptioningChangeListener,getFontScale,getLocale,getUserStyle,isEnabled,removeCaptioningChangeListener,screenOrientation,inputType,inputMethod,phoneNumber,password,numeric,digits,autoText,editable,background,textColor,autoSizeTextType,textSize,textScaleX,autoSizeMaxTextSize,autoSizeMinTextSize,autoSizePresetSizes,lineSpacingMultiplier,lineSpacingExtra,letterSpacing,animateLayoutChanges,nextFocusForward,nextFocusUp,nextFocusDown,nextFocusLeft,nextFocusRight,accessibilityPaneTitle,accessibilityTraversalBefore,accessibilityTraversalAfter,accessibilityHeading,cursorVisible,minWidth,minHeight,screenReaderFocusable,focusable,hint,labelFor,onInitializeAccessibilityNodeInfo,replaceAccessibilityAction,accessibilityLiveRegion,importantForAccessibility,hapticFeedbackEnabled,sendAccessibilityEvent,sendAccessibilityEventUnchecked,dispatchPopulateAccessibilityEvent,onPopulateAccessibilityEvent,onRequestSendAccessibilityEvent,onBindViewHolder,GP-score,GP-installs,CM-SumDIACodeElements,CM-IndexDIACodeElements,CM-SumIIACodeElements,CM-IndexIIACodeElements,CM-SumAllCodeElements,CM-IndexAllCodeElements,CM-SumPerceivableCodeElements,CM-SumOperableCodeElements,CM-SumUnderstandableCodeElements,CM-SumRobustCodeElements,AL-GetContentDescriptionOverride,AL-ClickableViewAccessibility,AL-ContentDescription,AL-KeyboardInaccessibleWidget,AL-LabelFor,AL-acc_issues,M-NonTextContent,M-LabelOrInstructions,M-IdentifyInputPurpose,M-ContrastMinimum,M-TargetSize,M-DuplicateContentDescription,M-Spacing,M-Orientation,M-PageTitled,M-acc_issues,W-perceivable_issues,W-operable_issues,W-understandable_issues,W-robust_issues,total_of_issues
authorizer,13,0,0,0,0,7,0,0,28,0,0,0,0,1,0,0,3,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,9,0,0,0,0,0,0,6,0,827,90,6,23,4,113,10,79,0,19,15,0,4,1,10,8,23,0,4,2,15,8,0,0,3,2,34,21,20,12,4,57
c-beam-droid,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,41,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,5,0,0,0,0,0,0,4.875,1215,37,5,54,3,91,8,79,1,6,5,0,5,3,0,2,10,15,5,4,42,35,0,0,11,8,120,75,43,7,5,130
calculator-notification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3055553,1700,0,0,54,2,54,2,54,0,0,0,0,0,6,0,0,6,0,0,0,1,1,0,0,1,0,3,8,1,0,0,9
calliope-android-app,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,15,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8235295,3381,16,2,36,4,52,6,51,0,0,1,0,0,18,0,0,18,21,7,0,322,166,0,0,4,2,522,365,168,7,0,540
contentblocker,3,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,12,49,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.420058,6782168,46,6,65,3,111,9,106,2,3,0,0,0,21,0,2,23,13,0,0,6,0,0,1,1,2,23,41,3,2,0,46
darkcroc-android-theme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,18377,0,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,8,4,4,0,0,8
dash-wallet,8,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,50,50,0,55,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,352399,101,6,102,4,203,10,181,3,19,0,0,0,16,0,4,20,0,0,0,2,0,0,0,0,0,2,18,0,4,0,22
defaultdarktheme-oms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7142856,369985,0,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,1,0,31,10,21,0,0,31
democracy-client,2,0,1,0,0,8,0,0,4,0,0,0,0,0,0,2,22,8,0,12,0,0,0,0,3,4,7,0,1,1,1,1,1,0,0,0,0,1,5,5,0,4,4,0,1,0,2,2,0,5,0,1,0,0,0,4.3846154,84866,64,21,44,5,108,26,73,20,4,11,0,0,0,0,0,0,0,2,1,5,2,0,0,2,2,14,8,4,2,0,14
diaguard,55,0,0,4,0,2,0,0,21,0,0,0,0,0,0,0,45,69,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,14,4.48,20572,123,5,133,5,256,10,213,3,26,14,0,3,0,0,0,3,41,5,0,125,42,0,0,3,3,219,169,45,5,3,222
diceware-pass-gen,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8636365,2429,8,2,12,2,20,4,20,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,8,1,1,25,6,19,0,0,25
dokuwikiandroid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4285715,940,1,1,2,1,3,2,3,0,0,0,0,0,0,0,1,1,6,3,1,18,10,0,0,3,2,43,28,12,4,0,44
download-navi,21,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,36,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3.93,66500,52,5,45,4,97,9,79,1,14,3,0,1,1,0,0,2,44,14,3,286,537,0,4,4,4,896,338,545,14,1,898
dsaassistant,12,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,24,44,0,73,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4.3636365,2748,129,5,68,2,197,7,170,12,15,0,0,0,0,4,0,4,11,3,0,43,20,13,13,2,4,109,69,41,3,0,113
exodus-android-app,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.29,88362,26,2,38,3,64,5,61,0,0,3,0,0,4,0,0,4,2,1,0,1,2,0,0,1,1,8,8,3,1,0,12
fediphoto,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,0,0,9,2,5,0,4,0,0,0,0,0,0,0,3,3,0,3,14,0,2,4,3,32,10,19,3,0,32
flashcards,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,22,4,23,2,45,6,45,0,0,0,0,0,0,0,0,0,1,3,2,21,7,0,0,4,2,40,28,9,3,0,40
funktrainer,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5636363,7039,6,3,7,3,13,6,12,0,1,0,0,0,0,0,0,0,1,1,0,9,17,0,2,3,2,35,13,21,1,0,35
getmitokens,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,4,2,2,1,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,2,1,0,0,3
getoffyourphone,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.142857,2756,18,2,17,3,35,5,34,0,0,1,0,0,1,0,0,1,17,0,0,2,0,0,2,1,1,23,21,3,0,0,24
goodtime,12,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,15,9,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4.560232,511233,42,6,29,4,71,10,63,1,3,4,0,3,4,0,2,9,9,5,0,5,2,0,2,6,4,33,24,8,7,3,42
habpanelviewer,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,9,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3.707317,8266,15,3,13,3,28,6,26,0,2,0,0,1,1,0,0,2,12,0,0,3,1,0,1,1,0,18,17,2,0,1,20
hacs,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154,2,2,10,3,12,5,11,0,1,0,0,0,3,0,0,3,3,2,2,32,3,0,0,4,2,48,44,5,2,0,51
hauk,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,183,13,6,9,2,22,8,18,0,4,0,0,0,0,0,0,0,1,3,0,6,13,0,9,2,2,36,9,24,3,0,36
heb12-mobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,258,137,0,0,2,1,438,286,138,14,0,438
helsinki-timetables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.19,66962,6,2,39,2,45,4,44,0,1,0,0,3,3,0,0,6,459,0,3,444,184,0,10,7,2,1109,916,196,0,3,1115
hu-eduroam,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,45,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1609197,30078,51,3,54,2,105,5,105,0,0,0,0,0,0,0,14,14,0,2,0,4,3,0,0,0,1,10,4,4,16,0,24
huewidgets,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,346,5,4,1,1,6,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,5,3,2,0,0,5
kboard,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.6306307,253131,3,3,2,2,5,5,3,0,1,1,0,0,0,0,0,0,6,1,0,6,5,0,0,2,2,22,14,7,1,0,22
ldap-sync,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333,2531,13,2,4,2,17,4,9,0,8,0,0,0,1,2,2,5,4,3,0,6,6,0,3,2,2,26,13,13,5,0,31
lepsi-rozvrh,7,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,10,19,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,4.773585,1533,39,4,38,5,77,9,67,3,5,2,0,0,6,0,0,6,2,0,0,9,1,0,0,3,0,15,20,1,0,0,21
light-android-launcher,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,2,6,2,8,4,7,0,1,0,0,0,1,1,0,2,1,0,0,2,2,0,1,3,0,9,7,4,0,0,11
ltecleanerfoss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,24651,4,1,12,2,16,3,16,0,0,0,0,0,0,0,0,0,2,3,1,7,11,0,0,4,2,30,14,13,3,0,30
lttrs-android,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,7,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4.5,203,21,5,43,3,64,8,56,0,5,3,0,0,20,0,0,20,1,0,0,3,0,0,0,1,1,6,25,1,0,0,26
manglish,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.388889,27984,6,3,4,3,10,6,9,0,1,0,0,0,1,0,0,1,2,0,1,8,3,0,2,1,0,17,13,5,0,0,18
mbestyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.1764708,3323,7,1,19,4,26,5,20,1,0,5,0,0,7,1,0,8,9,1,0,12,3,0,4,2,1,32,30,9,1,0,40
mediclog,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,1,1,13,2,13,0,0,0,0,0,8,0,12,20,4,8,1,11,13,0,2,4,2,45,28,17,20,0,65
moneywallet,42,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,73,24,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,105,0,0,0,0,0,0,0,0,0,0,0,38,4.49,16229,396,5,136,4,532,9,387,2,105,38,0,6,5,0,0,11,43,1,29,43,29,0,0,8,4,157,128,33,1,6,168
morse,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2,161,54,2,54,3,108,5,107,0,0,1,0,5,0,0,0,5,1,1,1,5,9,0,0,2,0,19,9,9,1,5,24
motioneye-client,17,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,18,9,0,73,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,2070,120,4,44,5,164,9,135,5,14,10,0,0,12,1,0,13,2,0,0,9,6,0,2,2,0,21,25,9,0,0,34
mundraub-android,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,17,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1.3225807,2988,28,5,20,2,48,7,40,0,5,3,0,0,8,6,6,20,348,2,1,20,16,0,0,8,3,398,385,25,8,0,418
mynotes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,9,4,7,2,16,6,15,0,1,0,0,0,3,0,0,3,3,0,0,10,1,0,0,2,1,17,18,2,0,0,20
notepad,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.385621,325269,13,4,14,2,27,6,26,0,1,0,0,4,1,3,0,8,2,1,0,13,4,0,0,2,3,25,18,10,1,4,33
onpc,28,0,0,0,0,9,0,0,6,0,0,0,0,1,0,0,10,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,26567,40,5,26,4,66,9,65,1,0,0,0,3,3,1,0,7,12,3,0,31,12,0,0,2,2,62,48,15,3,3,69
openpods,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5714285,3154,3,1,13,2,16,3,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,3,0,0,0,3
opensudoku,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,9642,3,2,16,5,19,7,16,3,0,0,0,3,6,0,4,13,8,4,2,23,13,0,0,4,6,60,43,19,8,3,73
osmdashboard,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,4,6,2,13,6,12,0,1,0,0,0,0,0,0,0,5,3,0,7,62,0,0,2,1,80,14,63,3,0,80
osmtracker-android,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.17,29966,20,4,7,2,27,6,25,0,2,0,0,0,1,0,4,5,1,6,0,13,16,0,2,4,1,43,19,19,10,0,48
paintroid,48,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,24,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3.664762,999283,82,5,44,2,126,7,121,0,5,0,0,0,0,0,0,0,22,3,1,71,13,0,3,2,1,116,96,17,3,0,116
pdfviewer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,18555,13,2,13,2,26,4,26,0,0,0,0,0,1,0,0,1,13,1,0,27,9,0,1,6,3,60,47,13,1,0,61
phonograph,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,113,67,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,4.06722,1944285,54,3,192,3,246,6,219,0,15,12,0,6,0,15,0,21,12,0,0,21,5,0,0,2,0,40,35,20,0,6,61
phyphox-android,6,0,0,1,0,2,0,0,5,0,0,0,0,0,0,2,19,12,0,14,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,4.466292,854646,34,8,39,6,73,14,63,4,6,0,0,3,12,2,3,20,2,0,0,0,2,0,0,1,1,6,15,5,3,3,26
pilfershushjammer,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.15,37312,9,3,19,2,28,5,25,0,3,0,0,0,0,0,0,0,2,0,0,5,15,0,7,1,1,31,8,23,0,0,31
